# Degrees, CalciumE, ngtcut, nltcut
0.0 118.129631053 315192 0
15.0 115.223757674 315192 0
30.0 112.967615217 315192 0
45.0 111.384272456 315192 0
60.0 110.482080938 315192 0
75.0 110.263846702 315192 0
90.0 110.731252836 315192 0
105.0 111.885743598 315192 0
120.0 113.726088933 315192 0
135.0 116.241878891 315192 0
150.0 119.401237262 315192 0
165.0 123.130395262 315192 0
180.0 127.283648776 315192 0
195.0 131.607418083 315192 0
210.0 135.714808892 315192 0
225.0 139.103652114 315192 0
240.0 141.250488915 315192 0
255.0 141.769816625 315192 0
270.0 140.562450393 315192 0
285.0 137.858766878 315192 0
300.0 134.124511897 315192 0
315.0 129.891884956 315192 0
330.0 125.618996126 315192 0
345.0 121.631376968 315192 0
360.0 118.129631053 315192 0
